,load,volu,u_pl,h,b,upl
0,0.05,0.0,0.0,0.05,0.1,0.0
1,0.1,0.0,0.0,0.05,0.1,0.0
2,0.15,0.0,0.0,0.05,0.1,0.0
3,0.2,0.0,0.0,0.05,0.1,0.0
4,0.25,0.0,0.0,0.05,0.1,0.0
5,0.3,0.0,0.0,0.05,0.1,0.0
6,0.35,0.0,0.0,0.05,0.1,0.0
7,0.4,0.0,0.0,0.05,0.1,0.0
8,0.45,0.0,0.0,0.05,0.1,0.0
9,0.5,0.0,0.0,0.05,0.1,0.0
10,0.55,0.0104829777,34.4631888419,0.0975,0.1,0.0344631888419
11,0.6,0.0219413938,54.9325673543,0.0975,0.2,0.0549325673543
12,0.65,0.0305444494,77.4790098481,0.0975,0.2,0.07747900984810001
13,0.7,0.0420133542,105.4137771726,0.1925,0.2,0.1054137771726
14,0.75,0.0630293172,143.9531312436,0.1925,0.3,0.1439531312436
15,0.8,0.0955043837,220.5947305481,0.1925,0.3,0.2205947305481
16,0.85,0.1919112182,342.2588375881,0.2875,0.5,0.3422588375881
17,0.9,0.646628156,618.5144539906,0.6675,0.9,0.6185144539906
18,0.95,0.9581343626,806.2707271217,0.9525,0.9,0.8062707271217
19,1.0,1.2723640527,1023.3340005674,1.05,1.0,1.0233340005674
20,1.05,1.2721683857,1023.3340005674,1.05,1.0,1.0233340005674
21,1.1,1.2719710889,1023.3340005674,1.05,1.0,1.0233340005674
22,1.15,1.2717615405,1023.3340005674,1.05,1.0,1.0233340005674
23,1.2,1.2715509433,1023.3340005674,1.05,1.0,1.0233340005674
24,1.25,1.2713402229,1023.3340005674,1.05,1.0,1.0233340005674
25,1.3,1.2711300279,1023.3340005674,1.05,1.0,1.0233340005674
26,1.35,1.2709206117,1023.3340005674,1.05,1.0,1.0233340005674
27,1.4,1.2707118818,1023.3340005674,1.05,1.0,1.0233340005674
28,1.45,1.2705035529,1023.3340005674,1.05,1.0,1.0233340005674
29,1.5,1.2702953086,1023.3340005674,1.05,1.0,1.0233340005674
30,1.55,1.2700869119,1023.3340005674,1.05,1.0,1.0233340005674
31,1.6,1.2698781864,1024.0482737818,1.05,1.0,1.0240482737818
32,1.65,1.2696691905,1026.0850419798,1.05,1.0,1.0260850419798
33,1.7,1.2694629803,1031.0165067711,1.05,1.0,1.0310165067711
34,1.75,1.2692661837,1036.629928092,1.05,1.0,1.036629928092
35,1.8,1.2690877715,1042.8996893861,1.05,1.0,1.0428996893861
36,1.85,1.268933496,1049.2276633479,1.05,1.0,1.0492276633479
37,1.9,1.2688025796,1055.1072919764,1.05,1.0,1.0551072919764
38,1.95,1.2687385496,1058.1006519296,1.05,1.0,1.0581006519296
39,2.0,1.2686795953,1061.0551113882,1.05,1.0,1.0610551113882
